294.090, 130.209, 6.439,  6.425 False
293.875, 130.224, 6.469,  6.458 False
293.659, 130.239, 6.500,  6.491 False
293.442, 130.254, 6.532,  6.524 False
293.224, 130.269, 6.564,  6.557 False
293.005, 130.284, 6.596,  6.590 False
292.785, 130.299, 6.628,  6.623 False
292.563, 130.314, 6.660,  6.656 False
292.341, 130.330, 6.691,  6.689 False
292.118, 130.345, 6.722,  6.722 False
291.893, 130.360, 6.753,  6.755 False
291.668, 130.375, 6.783,  6.788 False
291.442, 130.390, 6.812,  6.821 False
291.214, 130.405, 6.840,  6.854 False
290.986, 130.420, 6.868,  6.887 False
290.757, 130.435, 6.894,  6.920 False
290.527, 130.450, 6.921,  6.953 False
290.296, 130.465, 6.946,  6.986 False
290.065, 130.480, 6.971,  7.019 False
289.832, 130.494, 6.995,  7.052 False
289.599, 130.509, 7.019,  7.085 False
289.365, 130.523, 7.043,  7.118 False
289.130, 130.538, 7.067,  7.151 False
288.894, 130.552, 7.092,  7.184 False
288.658, 130.567, 7.116,  7.217 False
288.420, 130.581, 7.141,  7.250 False
288.182, 130.595, 7.166,  7.283 False
287.943, 130.609, 7.191,  7.316 False
287.703, 130.623, 7.217,  7.349 False
287.462, 130.636, 7.243,  7.382 False
287.221, 130.650, 7.269,  7.415 False
286.978, 130.663, 7.296,  7.448 False
286.734, 130.677, 7.324,  7.481 False
286.490, 130.690, 7.351,  7.514 False
286.245, 130.703, 7.379,  7.547 False
285.998, 130.716, 7.407,  7.580 False
285.751, 130.729, 7.435,  7.613 False
285.503, 130.742, 7.463,  7.646 False
285.253, 130.754, 7.492,  7.679 False
285.003, 130.767, 7.520,  7.712 False
284.752, 130.779, 7.548,  7.745 False
284.500, 130.789, 7.572,  7.778 False
284.247, 130.798, 7.601,  7.811 False
283.993, 130.806, 7.626,  7.844 False
283.739, 130.815, 7.654,  7.877 False
283.483, 130.822, 7.679,  7.910 False
283.227, 130.829, 7.707,  7.943 False
